cpu_request_m,cpu_limit_m,mem_request_mi,mem_limit_mi,priority,node_cpu_pressure_pct,node_mem_pressure_pct,pod_cpu_usage_pct,pod_mem_usage_mi,risk,label_source,risk_intended
500,500,256,256,10,36.07,26.53,83.33,240.67,high,heuristic,low
500,500,256,256,10,36.07,26.53,83.34,240.75,high,heuristic,low
100,150,128,256,-10,36.07,26.53,60.02,160.96,low,heuristic,high
500,500,256,256,10,36.07,26.53,83.31,240.67,high,heuristic,low
250,500,256,256,0,38.57,26.05,83.28,87.74,low,heuristic,medium
500,500,256,256,10,38.57,26.05,83.4,241.08,high,heuristic,low
100,150,128,256,-10,38.57,26.05,59.97,231.12,high,heuristic,high
100,150,128,256,-10,38.57,26.05,59.99,234.99,high,heuristic,high
500,500,256,256,10,41.07,23.42,83.35,240.82,high,heuristic,low
100,150,128,256,-10,41.07,23.42,59.99,98.95,low,heuristic,high
500,500,256,256,10,41.07,23.42,83.36,240.66,high,heuristic,low
250,500,256,256,0,41.07,23.42,83.38,89.55,low,heuristic,medium
250,500,256,256,0,36.14,29.76,83.34,34.0,low,heuristic,medium
500,500,256,256,10,36.14,29.76,83.33,215.65,high,heuristic,low
100,150,128,256,-10,36.14,29.76,60.02,127.78,low,heuristic,high
500,500,256,256,10,36.14,29.76,83.33,215.61,high,heuristic,low
250,500,256,256,0,33.89,25.44,83.33,198.49,medium,heuristic,medium
500,500,256,256,10,33.89,25.44,83.32,215.71,high,heuristic,low
100,150,128,256,-10,33.89,25.44,59.95,151.79,low,heuristic,high
100,150,128,256,-10,33.89,25.44,59.97,150.39,low,heuristic,high
500,500,256,256,10,38.79,31.1,83.35,216.41,high,heuristic,low
500,500,256,256,10,38.79,31.1,83.35,215.82,high,heuristic,low
100,150,128,256,-10,38.79,31.1,60.01,39.37,low,heuristic,high
250,500,256,256,0,38.79,31.1,83.35,128.17,low,heuristic,medium
250,500,256,256,0,31.17,26.03,83.3,25.98,low,heuristic,medium
500,500,256,256,10,31.17,26.03,83.35,240.68,high,heuristic,low
100,150,128,256,-10,31.17,26.03,60.01,164.46,low,heuristic,high
100,150,128,256,-10,31.17,26.03,59.96,256.04,high,heuristic,high
250,500,256,256,0,36.43,25.45,83.35,86.64,low,heuristic,medium
250,500,256,256,0,36.43,25.45,83.38,93.71,low,heuristic,medium
500,500,256,256,10,36.43,25.45,83.34,73.22,low,heuristic,low
250,500,256,256,0,36.43,25.45,83.35,39.28,low,heuristic,medium
100,150,128,256,-10,36.06,29.04,60.0,139.38,low,heuristic,high
500,500,256,256,10,36.06,29.04,83.39,201.23,medium,heuristic,low
500,500,256,256,10,36.06,29.04,83.28,216.22,high,heuristic,low
250,500,256,256,0,36.06,29.04,83.33,98.11,low,heuristic,medium
250,500,256,256,0,41.13,29.09,83.32,256.06,high,heuristic,medium
250,500,256,256,0,41.13,29.09,83.34,24.79,low,heuristic,medium
500,500,256,256,10,41.13,29.09,83.32,215.71,high,heuristic,low
250,500,256,256,0,41.13,29.09,83.34,149.46,low,heuristic,medium
250,500,256,256,0,35.13,25.49,0.0,2.25,low,heuristic,medium
100,150,128,256,-10,35.13,25.49,59.93,99.51,low,heuristic,high
